70294003::other::What is blue?::70294::bus::_predadj(A, B)::_predadj(_$qVar, blue)
18073001::yes/no::Is the water blue?::18073::yes::_predadj(A, B)::_predadj(water, blue)
109889004::yes/no::Are the trees green?::109889::no::_predadj(A, B)::_predadj(tree, green)
143901010::yes/no::Is the woman old?::143901::no::_predadj(A, B)::_predadj(woman, old)
279558001::yes/no::Is the sky clear?::279558::yes::_predadj(A, B)::_predadj(sky, clear)
521877001::other::What is green?::521877::grass::_predadj(A, B)::_predadj(_$qVar, green)
482735003::yes/no::Are the waves big?::482735::yes::_predadj(A, B)::_predadj(wave, big)
550980005::yes/no::Are the men young?::550980::no::_predadj(A, B)::_predadj(man, young)
136722002::yes/no::Is the sky clear?::136722::yes::_predadj(A, B)::_predadj(sky, clear)
206705004::yes/no::Is the table small?::206705::no::_predadj(A, B)::_predadj(table, small)
286422002::yes/no::Is the woman old?::286422::no::_predadj(A, B)::_predadj(woman, old)
177420002::yes/no::Are the doors open?::177420::no::_predadj(A, B)::_predadj(door, open)
223130005::yes/no::Is the giraffe tall?::223130::yes::_predadj(A, B)::_predadj(giraffe, tall)
124210001::other::What is blue?::124210::cooler::_predadj(A, B)::_predadj(_$qVar, blue)
272736010::yes/no::Is the sky blue?::272736::no::_predadj(A, B)::_predadj(sky, blue)
36522003::yes/no::Is the bus old?::36522::no::_predadj(A, B)::_predadj(bus, old)
267598002::yes/no::Is the building old?::267598::yes::_predadj(A, B)::_predadj(building, old)
533449005::yes/no::Are the plates black?::533449::no::_predadj(A, B)::_predadj(plate, black)
488454000::yes/no::Is the tree old?::488454::yes::_predadj(A, B)::_predadj(tree, old)
203635001::yes/no::Is the bear old?::203635::no::_predadj(A, B)::_predadj(bear, old)
558640001::other::What is green?::558640::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
21161004::yes/no::Is the picture clear?::21161::no::_predadj(A, B)::_predadj(picture, clear)
408534005::yes/no::Is the water blue?::408534::yes::_predadj(A, B)::_predadj(water, blue)
519706001::yes/no::Is the wall yellow?::519706::yes::_predadj(A, B)::_predadj(wall, yellow)
13843002::yes/no::Is the bear old?::13843::yes::_predadj(A, B)::_predadj(bear, old)
346707001::other::What is green?::346707::bananas::_predadj(A, B)::_predadj(_$qVar, green)
190041003::yes/no::Is the sky blue?::190041::no::_predadj(A, B)::_predadj(sky, blue)
517612001::yes/no::Is the sky clear?::517612::no::_predadj(A, B)::_predadj(sky, clear)
112065000::other::What is blue?::112065::shirt::_predadj(A, B)::_predadj(_$qVar, blue)
342334001::yes/no::Is the water clear?::342334::no::_predadj(A, B)::_predadj(water, clear)
288313001::other::What is red?::288313::radishes::_predadj(A, B)::_predadj(_$qVar, red)
100329003::yes/no::Is the bear black?::100329::no::_predadj(A, B)::_predadj(bear, black)
529522000::yes/no::Is the water clear?::529522::yes::_predadj(A, B)::_predadj(water, clear)
196798000::other::What is blue?::196798::lights::_predadj(A, B)::_predadj(_$qVar, blue)
563040001::other::What is yellow?::563040::van::_predadj(A, B)::_predadj(_$qVar, yellow)
375078001::yes/no::Is the vase plastic?::375078::no::_predadj(A, B)::_predadj(vase, plastic)
475484003::yes/no::Is the street red?::475484::no::_predadj(A, B)::_predadj(street, red)
43678001::yes/no::Are the skies blue?::43678::yes::_predadj(A, B)::_predadj(sky, blue)
173471001::yes/no::Is the plant tall?::173471::yes::_predadj(A, B)::_predadj(plant, tall)
163852003::other::What is orange?::163852::carrot::_predadj(A, B)::_predadj(_$qVar, orange)
207306002::other::What is yellow?::207306::awning::_predadj(A, B)::_predadj(_$qVar, yellow)
425447009::other::What is green?::425447::grass::_predadj(A, B)::_predadj(_$qVar, green)
105812031::other::What is red?::105812::napkin::_predadj(A, B)::_predadj(_$qVar, red)
105812041::yes/no::Is the water blue?::105812::no::_predadj(A, B)::_predadj(water, blue)
581226002::yes/no::Is the picture clear?::581226::no::_predadj(A, B)::_predadj(picture, clear)
183114023::yes/no::Is the bird black?::183114::yes::_predadj(A, B)::_predadj(bird, black)
530854004::yes/no::Are the umbrellas open?::530854::yes::_predadj(A, B)::_predadj(umbrella, open)
872003::other::What is green?::872::grass::_predadj(A, B)::_predadj(_$qVar, green)
276254001::yes/no::Is the water clear?::276254::yes::_predadj(A, B)::_predadj(water, clear)
459467005::yes/no::Is the sky clear?::459467::no::_predadj(A, B)::_predadj(sky, clear)
297146000::other::What is silver?::297146::stand::_predadj(A, B)::_predadj(_$qVar, silver)
211756001::other::What is red?::211756::coffee pot::_predadj(A, B)::_predadj(_$qVar, red)
149770002::yes/no::Is the water green?::149770::yes::_predadj(A, B)::_predadj(water, green)
503724004::yes/no::Is the train red?::503724::yes::_predadj(A, B)::_predadj(train, red)
235131002::yes/no::Is the building tall?::235131::no::_predadj(A, B)::_predadj(building, tall)
389759005::yes/no::Are the flowers orange?::389759::no::_predadj(A, B)::_predadj(flower, orange)
94563003::other::What is brown?::94563::pears::_predadj(A, B)::_predadj(_$qVar, brown)
322261012::yes/no::Is the child young?::322261::yes::_predadj(A, B)::_predadj(child, young)
319607002::yes/no::Is the light green?::319607::no::_predadj(A, B)::_predadj(light, green)
231349000::yes/no::Is the train green?::231349::no::_predadj(A, B)::_predadj(train, green)
165401001::yes/no::Are the waves big?::165401::no::_predadj(A, B)::_predadj(wave, big)
165401003::yes/no::Is the water clear?::165401::yes::_predadj(A, B)::_predadj(water, clear)
379453005::yes/no::Is the sky clear?::379453::yes::_predadj(A, B)::_predadj(sky, clear)
365642015::yes/no::Is the woman young?::365642::yes::_predadj(A, B)::_predadj(woman, young)
290619001::other::What is yellow?::290619::banana::_predadj(A, B)::_predadj(_$qVar, yellow)
155877000::yes/no::Is the tree old?::155877::yes::_predadj(A, B)::_predadj(tree, old)
534194002::yes/no::Is the bench old?::534194::yes::_predadj(A, B)::_predadj(bench, old)
472732006::yes/no::Is the grass green?::472732::no::_predadj(A, B)::_predadj(grass, green)
27656002::other::What is yellow?::27656::flowers::_predadj(A, B)::_predadj(_$qVar, yellow)
225133001::yes/no::Is the sky blue?::225133::no::_predadj(A, B)::_predadj(sky, blue)
74200001::other::What is yellow?::74200::surfboard::_predadj(A, B)::_predadj(_$qVar, yellow)
333198003::yes/no::Is the sky blue?::333198::yes::_predadj(A, B)::_predadj(sky, blue)
474170018::yes/no::Is the grass tall?::474170::yes::_predadj(A, B)::_predadj(grass, tall)
474170019::other::What is green?::474170::grass::_predadj(A, B)::_predadj(_$qVar, green)
322796001::yes/no::Is the dog old?::322796::no::_predadj(A, B)::_predadj(dog, old)
6723000::yes/no::Is the sky blue?::6723::yes::_predadj(A, B)::_predadj(sky, blue)
6723002::yes/no::Is the road clear?::6723::yes::_predadj(A, B)::_predadj(road, clear)
395452004::other::What is green?::395452::plate::_predadj(A, B)::_predadj(_$qVar, green)
215901003::yes/no::Is the bowl clear?::215901::no::_predadj(A, B)::_predadj(bowl, clear)
432421008::yes/no::Is the road clear?::432421::no::_predadj(A, B)::_predadj(road, clear)
178753000::yes/no::Is the woman old?::178753::no::_predadj(A, B)::_predadj(woman, old)
283432017::other::What are green?::283432::trees::_predadj(A, B)::_predadj(_$qVar, green)
85940006::yes/no::Is the counter wooden?::85940::no::_predadj(A, B)::_predadj(counter, wooden)
291380005::yes/no::Is the window clear?::291380::yes::_predadj(A, B)::_predadj(window, clear)
567444001::other::Why are some leaves yellow?::567444::dying::_predadj(A, B)::_predadj(leaf, yellow)
437126000::yes/no::Is the cat black?::437126::yes::_predadj(A, B)::_predadj(cat, black)
350389001::yes/no::Is the dog big?::350389::yes::_predadj(A, B)::_predadj(dog, big)
551241002::yes/no::Is the sky clear?::551241::yes::_predadj(A, B)::_predadj(sky, clear)
42260009::yes/no::Is the umbrella red?::42260::no::_predadj(A, B)::_predadj(umbrella, red)
553081000::yes/no::Is the sky clear?::553081::yes::_predadj(A, B)::_predadj(sky, clear)
285607006::other::What is blue?::285607::sky::_predadj(A, B)::_predadj(_$qVar, blue)
314907012::yes/no::Is the sky clear?::314907::no::_predadj(A, B)::_predadj(sky, clear)
187079001::yes/no::Is the chair yellow?::187079::yes::_predadj(A, B)::_predadj(chair, yellow)
351466000::yes/no::Is the clock old?::351466::yes::_predadj(A, B)::_predadj(clock, old)
49633001::yes/no::Is the sky clear?::49633::no::_predadj(A, B)::_predadj(sky, clear)
169098004::yes/no::Is the train old?::169098::yes::_predadj(A, B)::_predadj(train, old)
120412001::yes/no::Is the light red?::120412::no::_predadj(A, B)::_predadj(light, red)
270810007::yes/no::Is the train red?::270810::no::_predadj(A, B)::_predadj(train, red)
401850000::yes/no::Is the sky clear?::401850::yes::_predadj(A, B)::_predadj(sky, clear)
340658006::yes/no::Is the water clear?::340658::no::_predadj(A, B)::_predadj(water, clear)
542509012::yes/no::Are the laptops open?::542509::no::_predadj(A, B)::_predadj(laptop, open)
395997000::yes/no::Is the dog old?::395997::yes::_predadj(A, B)::_predadj(dog, old)
132336012::other::What is red?::132336::bus::_predadj(A, B)::_predadj(_$qVar, red)
126107004::yes/no::Is the sky clear?::126107::no::_predadj(A, B)::_predadj(sky, clear)
420658004::yes/no::Is the road clear?::420658::no::_predadj(A, B)::_predadj(road, clear)
458918003::yes/no::Is the sky blue?::458918::no::_predadj(A, B)::_predadj(sky, blue)
67886024::yes/no::Are the waves big?::67886::yes::_predadj(A, B)::_predadj(wave, big)
404479000::yes/no::Is the sky clear?::404479::yes::_predadj(A, B)::_predadj(sky, clear)
566025001::yes/no::Are the skies blue?::566025::yes::_predadj(A, B)::_predadj(sky, blue)
538198000::yes/no::Is the truck old?::538198::yes::_predadj(A, B)::_predadj(truck, old)
263359002::yes/no::Is the grass green?::263359::yes::_predadj(A, B)::_predadj(grass, green)
544855001::yes/no::Is the train green?::544855::yes::_predadj(A, B)::_predadj(train, green)
218587003::yes/no::Is the building old?::218587::yes::_predadj(A, B)::_predadj(building, old)
209018002::yes/no::Is the man young?::209018::no::_predadj(A, B)::_predadj(man, young)
325410003::other::What is green?::325410::leaves::_predadj(A, B)::_predadj(_$qVar, green)
480075002::yes/no::Are the benches blue?::480075::yes::_predadj(A, B)::_predadj(bench, blue)
222053000::yes/no::Is the bench green?::222053::yes::_predadj(A, B)::_predadj(bench, green)
418701000::yes/no::Is the bus striped?::418701::no::_predadj(A, B)::_predadj(bus, striped)
166551000::yes/no::Is the chair yellow?::166551::yes::_predadj(A, B)::_predadj(chair, yellow)
371106003::yes/no::Is the grass green?::371106::yes::_predadj(A, B)::_predadj(grass, green)
526737003::yes/no::Are the windows big?::526737::yes::_predadj(A, B)::_predadj(windows, big)
8708000::yes/no::Is the book old?::8708::yes::_predadj(A, B)::_predadj(book, old)
227893003::other::What is blue?::227893::window::_predadj(A, B)::_predadj(_$qVar, blue)
135139005::other::What are green?::135139::bananas::_predadj(A, B)::_predadj(_$qVar, green)
301376015::yes/no::Is the light green?::301376::no::_predadj(A, B)::_predadj(light, green)
552510000::yes/no::Are the shirts striped?::552510::yes::_predadj(A, B)::_predadj(shirt, striped)
415196002::yes/no::Is the floor wooden?::415196::no::_predadj(A, B)::_predadj(floor, wooden)
232455006::yes/no::Is the sky clear?::232455::yes::_predadj(A, B)::_predadj(sky, clear)
32941002::yes/no::Is the road clear?::32941::no::_predadj(A, B)::_predadj(road, clear)
361587001::yes/no::Is the water clear?::361587::no::_predadj(A, B)::_predadj(water, clear)
271934002::yes/no::Is the building old?::271934::yes::_predadj(A, B)::_predadj(building, old)
6153003::yes/no::Is the train green?::6153::no::_predadj(A, B)::_predadj(train, green)
46011002::yes/no::Is the sky clear?::46011::yes::_predadj(A, B)::_predadj(sky, clear)
31893026::other::What is red?::31893::couch::_predadj(A, B)::_predadj(_$qVar, red)
450324006::yes/no::Is the light green?::450324::yes::_predadj(A, B)::_predadj(light, green)
302388000::yes/no::Is the wave big?::302388::yes::_predadj(A, B)::_predadj(wave, big)
173500004::yes/no::Are the umbrellas open?::173500::yes::_predadj(A, B)::_predadj(umbrella, open)
359458003::yes/no::Is the grass green?::359458::no::_predadj(A, B)::_predadj(grass, green)
161736000::yes/no::Are any hats red?::161736::no::_predadj(A, B)::_predadj(hat, red)
168093002::yes/no::Are the waves big?::168093::yes::_predadj(A, B)::_predadj(wave, big)
168093003::yes/no::Is the wave big?::168093::yes::_predadj(A, B)::_predadj(wave, big)
338384018::yes/no::Is the child young?::338384::no::_predadj(A, B)::_predadj(child, young)
384215000::yes/no::Is the sky clear?::384215::no::_predadj(A, B)::_predadj(sky, clear)
367452009::yes/no::Is the building old?::367452::yes::_predadj(A, B)::_predadj(building, old)
451373006::yes/no::Is the sky clear?::451373::no::_predadj(A, B)::_predadj(sky, clear)
364636001::other::What is red?::364636::collar::_predadj(A, B)::_predadj(_$qVar, red)
565012000::yes/no::Are the lights bright?::565012::yes::_predadj(A, B)::_predadj(light, bright)
119232002::yes/no::Is the sky blue?::119232::no::_predadj(A, B)::_predadj(sky, blue)
435206002::other::Why isn't the grass green?::435206::dry::_predadj(A, B)::_predadj(grass, green)
74646024::yes/no::Is the sky clear?::74646::yes::_predadj(A, B)::_predadj(sky, clear)
61925001::yes/no::Is the laptop open?::61925::yes::_predadj(A, B)::_predadj(laptop, open)
32703006::yes/no::Is the grass green?::32703::yes::_predadj(A, B)::_predadj(grass, green)
171317000::yes/no::Is the table black?::171317::no::_predadj(A, B)::_predadj(table, black)
46099000::yes/no::Is the sky blue?::46099::no::_predadj(A, B)::_predadj(sky, blue)
95959002::yes/no::Is the sky clear?::95959::no::_predadj(A, B)::_predadj(sky, clear)
41773021::yes/no::Is the sky clear?::41773::yes::_predadj(A, B)::_predadj(sky, clear)
230884008::yes/no::Is the helmet red?::230884::no::_predadj(A, B)::_predadj(helmet, red)
435034008::yes/no::Is the train old?::435034::yes::_predadj(A, B)::_predadj(train, old)
449963002::yes/no::Are the laptops open?::449963::yes::_predadj(A, B)::_predadj(laptop, open)
232614017::yes/no::Are the leaves green?::232614::yes::_predadj(A, B)::_predadj(leaf, green)
482667002::yes/no::Is the elephant old?::482667::no::_predadj(A, B)::_predadj(elephant, old)
361221000::yes/no::Is the train old?::361221::yes::_predadj(A, B)::_predadj(train, old)
103017001::yes/no::Is the bed large?::103017::no::_predadj(A, B)::_predadj(bed, large)
396094002::yes/no::Is the floor wooden?::396094::no::_predadj(A, B)::_predadj(floor, wooden)
346954005::yes/no::Is the light green?::346954::yes::_predadj(A, B)::_predadj(light, green)
195269014::yes/no::Is the man young?::195269::yes::_predadj(A, B)::_predadj(man, young)
82668002::yes/no::Is the sky blue?::82668::yes::_predadj(A, B)::_predadj(sky, blue)
120986000::yes/no::Is the building old?::120986::yes::_predadj(A, B)::_predadj(building, old)
53697004::other::What is pink?::53697::cup::_predadj(A, B)::_predadj(_$qVar, pink)
209972003::yes/no::Are the waves big?::209972::no::_predadj(A, B)::_predadj(wave, big)
566631003::yes/no::Is the counter wooden?::566631::yes::_predadj(A, B)::_predadj(counter, wooden)
173235000::other::What is red?::173235::scissors::_predadj(A, B)::_predadj(_$qVar, red)
74280021::yes/no::Is the water clear?::74280::yes::_predadj(A, B)::_predadj(water, clear)
44003003::yes/no::Is the sky clear?::44003::yes::_predadj(A, B)::_predadj(sky, clear)
434958002::yes/no::Is the cat large?::434958::yes::_predadj(A, B)::_predadj(cat, large)
95908000::other::What metal is the cup?::95908::steel::_det(A, B);_obj(C, D);_subj(C, A)::_det(metal, _$qVar);_obj(be, cup);_subj(be, metal)
503600002::other::What is green?::503600::grass::_predadj(A, B)::_predadj(_$qVar, green)
461774002::yes/no::Is the grass green?::461774::yes::_predadj(A, B)::_predadj(grass, green)
122213008::yes/no::Is the cat black?::122213::yes::_predadj(A, B)::_predadj(cat, black)
518255000::yes/no::Is the ground green?::518255::yes::_predadj(A, B)::_predadj(ground, green)
118366000::yes/no::Are the waves big?::118366::no::_predadj(A, B)::_predadj(wave, big)
172979001::yes/no::Is the grass tall?::172979::no::_predadj(A, B)::_predadj(grass, tall)
496722001::other::What is red?::496722::mailbox::_predadj(A, B)::_predadj(_$qVar, red)
150872001::yes/no::Is the man young?::150872::no::_predadj(A, B)::_predadj(man, young)
448175009::yes/no::Is the picture clear?::448175::yes::_predadj(A, B)::_predadj(picture, clear)
118846000::yes/no::Is the man young?::118846::yes::_predadj(A, B)::_predadj(man, young)
508818000::yes/no::Is the road clear?::508818::yes::_predadj(A, B)::_predadj(road, clear)
310703000::yes/no::Is the sky clear?::310703::no::_predadj(A, B)::_predadj(sky, clear)
410278002::yes/no::Is the vase clear?::410278::yes::_predadj(A, B)::_predadj(vase, clear)
433845012::yes/no::Is the water green?::433845::no::_predadj(A, B)::_predadj(water, green)
423065000::other::What is green?::423065::alien::_predadj(A, B)::_predadj(_$qVar, green)
437541001::yes/no::Is the bottle green?::437541::no::_predadj(A, B)::_predadj(bottle, green)
559380000::yes/no::Is the floor wooden?::559380::yes::_predadj(A, B)::_predadj(floor, wooden)
565929011::other::What is green?::565929::trees::_predadj(A, B)::_predadj(_$qVar, green)
438707002::yes/no::Is the water clear?::438707::yes::_predadj(A, B)::_predadj(water, clear)
549943004::yes/no::Is the road clear?::549943::yes::_predadj(A, B)::_predadj(road, clear)
290610001::yes/no::Is the sky clear?::290610::no::_predadj(A, B)::_predadj(sky, clear)
36501002::yes/no::Is the elephant old?::36501::no::_predadj(A, B)::_predadj(elephant, old)
61782004::yes/no::Are the doors open?::61782::yes::_predadj(A, B)::_predadj(door, open)
326854002::yes/no::Are the windows open?::326854::no::_predadj(A, B)::_predadj(windows, open)
63240000::yes/no::Is the water clear?::63240::no::_predadj(A, B)::_predadj(water, clear)
17627004::yes/no::Is the sky black?::17627::no::_predadj(A, B)::_predadj(sky, black)
446455010::yes/no::Is the building old?::446455::yes::_predadj(A, B)::_predadj(building, old)
225847000::yes/no::Is the window open enough?::225847::yes::_predadj(A, B)::_predadj(window, open)
426687001::other::Why is the elephant gray?::426687::nature::_predadj(A, B)::_predadj(elephant, gray)
410319001::yes/no::Is the woman old?::410319::yes::_predadj(A, B)::_predadj(woman, old)
336579002::yes/no::Is the sky clear?::336579::yes::_predadj(A, B)::_predadj(sky, clear)
93405003::yes/no::Is the building old?::93405::yes::_predadj(A, B)::_predadj(building, old)
250870000::yes/no::Is the fence green?::250870::no::_predadj(A, B)::_predadj(fence, green)
442301001::other::What is orange?::442301::carrot::_predadj(A, B)::_predadj(_$qVar, orange)
210098000::yes/no::Is the sky clear?::210098::yes::_predadj(A, B)::_predadj(sky, clear)
179273012::other::What is green?::179273::parsley::_predadj(A, B)::_predadj(_$qVar, green)
179069004::yes/no::Are the waves big?::179069::yes::_predadj(A, B)::_predadj(wave, big)
148508002::other::What is red?::148508::bus::_predadj(A, B)::_predadj(_$qVar, red)
179142005::yes/no::Is the sky clear?::179142::no::_predadj(A, B)::_predadj(sky, clear)
539717002::yes/no::Is the boy small?::539717::no::_predadj(A, B)::_predadj(boy, small)
12927008::yes/no::Is the water blue?::12927::yes::_predadj(A, B)::_predadj(water, blue)
249786002::yes/no::Is the sky clear?::249786::yes::_predadj(A, B)::_predadj(sky, clear)
284426001::yes/no::Is the water clear?::284426::no::_predadj(A, B)::_predadj(water, clear)
198841000::yes/no::Is the building old?::198841::yes::_predadj(A, B)::_predadj(building, old)
169181000::yes/no::Is the bed large?::169181::yes::_predadj(A, B)::_predadj(bed, large)
444515004::other::What is red?::444515::apple::_predadj(A, B)::_predadj(_$qVar, red)
167084000::yes/no::Is the water blue?::167084::no::_predadj(A, B)::_predadj(water, blue)
121897002::other::What is green?::121897::grass::_predadj(A, B)::_predadj(_$qVar, green)
154633003::yes/no::Is the banana big?::154633::no::_predadj(A, B)::_predadj(banana, big)
473196001::yes/no::Is the sky clear?::473196::no::_predadj(A, B)::_predadj(sky, clear)
221610003::yes/no::Are the windows open?::221610::no::_predadj(A, B)::_predadj(windows, open)
107964000::yes/no::Is the picture clear?::107964::no::_predadj(A, B)::_predadj(picture, clear)
467022019::other::What is brown?::467022::table::_predadj(A, B)::_predadj(_$qVar, brown)
202886016::other::What is green?::202886::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
505333001::yes/no::Is the water clear?::505333::yes::_predadj(A, B)::_predadj(water, clear)
253520021::yes/no::Is the sky clear?::253520::yes::_predadj(A, B)::_predadj(sky, clear)
358399008::yes/no::Is the floor wooden?::358399::no::_predadj(A, B)::_predadj(floor, wooden)
147818003::other::What is red?::147818::strawberries::_predadj(A, B)::_predadj(_$qVar, red)
463876000::yes/no::Is the laptop open?::463876::yes::_predadj(A, B)::_predadj(laptop, open)
209028001::yes/no::Is the dog black?::209028::no::_predadj(A, B)::_predadj(dog, black)
478981002::other::What is green?::478981::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
410781000::other::What is green?::410781::tree::_predadj(A, B)::_predadj(_$qVar, green)
465537007::other::What is pink?::465537::pole::_predadj(A, B)::_predadj(_$qVar, pink)
242972000::other::Why is the bear brown?::242972::its brown::_predadj(A, B)::_predadj(bear, brown)
141887001::yes/no::Is the water clear?::141887::yes::_predadj(A, B)::_predadj(water, clear)
255630002::yes/no::Are the waves big?::255630::yes::_predadj(A, B)::_predadj(wave, big)
219514005::yes/no::Is the light red?::219514::no::_predadj(A, B)::_predadj(light, red)
1393002::yes/no::Are the flowers open?::1393::yes::_predadj(A, B)::_predadj(flower, open)
135673013::yes/no::Is the sky clear?::135673::yes::_predadj(A, B)::_predadj(sky, clear)
318063004::yes/no::Are the waves big?::318063::yes::_predadj(A, B)::_predadj(wave, big)
244111017::yes/no::Is the clock old?::244111::yes::_predadj(A, B)::_predadj(clock, old)
94599002::yes/no::Is the wall green?::94599::no::_predadj(A, B)::_predadj(wall, green)
57390002::yes/no::Is the bird black?::57390::no::_predadj(A, B)::_predadj(bird, black)
233994002::yes/no::Is the water clear?::233994::yes::_predadj(A, B)::_predadj(water, clear)
382089004::yes/no::Is the building green?::382089::no::_predadj(A, B)::_predadj(building, green)
503724015::yes/no::Is the train old?::503724::no::_predadj(A, B)::_predadj(train, old)
410221006::yes/no::Is the sky blue?::410221::yes::_predadj(A, B)::_predadj(sky, blue)
432421001::yes/no::Are the leaves green?::432421::yes::_predadj(A, B)::_predadj(leaf, green)
386613002::yes/no::Are the windows open?::386613::no::_predadj(A, B)::_predadj(windows, open)
251629007::yes/no::Are the flowers open?::251629::yes::_predadj(A, B)::_predadj(flower, open)
503238000::yes/no::Is the bus old?::503238::yes::_predadj(A, B)::_predadj(bus, old)
184388004::yes/no::Is the sky clear?::184388::no::_predadj(A, B)::_predadj(sky, clear)
145199002::yes/no::Are the walls yellow?::145199::yes::_predadj(A, B)::_predadj(wall, yellow)
361730006::yes/no::Is the sky clear?::361730::yes::_predadj(A, B)::_predadj(sky, clear)
440106012::yes/no::Is the background clear?::440106::yes::_predadj(A, B)::_predadj(background, clear)
505822004::other::What is yellow?::505822::light::_predadj(A, B)::_predadj(_$qVar, yellow)
161185003::yes/no::Is the light green?::161185::no::_predadj(A, B)::_predadj(light, green)
260020007::yes/no::Is the sky clear?::260020::no::_predadj(A, B)::_predadj(sky, clear)
190648003::yes/no::Is the window big?::190648::no::_predadj(A, B)::_predadj(window, big)
399212011::other::What is green?::399212::bag::_predadj(A, B)::_predadj(_$qVar, green)
224542000::yes/no::Is the sky clear?::224542::yes::_predadj(A, B)::_predadj(sky, clear)
58425003::yes/no::Is the bowl large?::58425::yes::_predadj(A, B)::_predadj(bowl, large)
319655001::other::Why is the picture dark?::319655::evening::_predadj(A, B)::_predadj(picture, dark)
500420001::yes/no::Is the sky clear?::500420::no::_predadj(A, B)::_predadj(sky, clear)
311759000::yes/no::Is the picture bright?::311759::yes::_predadj(A, B)::_predadj(picture, bright)
200725001::yes/no::Is the floor wooden?::200725::yes::_predadj(A, B)::_predadj(floor, wooden)
512110000::yes/no::Is the umbrella purple?::512110::yes::_predadj(A, B)::_predadj(umbrella, purple)
325391003::yes/no::Is the light red?::325391::no::_predadj(A, B)::_predadj(light, red)
125535006::yes/no::Is the bird large?::125535::yes::_predadj(A, B)::_predadj(bird, large)
316031004::yes/no::Is the building old?::316031::yes::_predadj(A, B)::_predadj(building, old)
92115007::yes/no::Are the doors open?::92115::yes::_predadj(A, B)::_predadj(door, open)
408534008::yes/no::Is the sky clear?::408534::yes::_predadj(A, B)::_predadj(sky, clear)
550426002::other::What is green?::550426::stems::_predadj(A, B)::_predadj(_$qVar, green)
425447001::yes/no::Is the truck old?::425447::no::_predadj(A, B)::_predadj(truck, old)
50829070::other::What is orange?::50829::fries::_predadj(A, B)::_predadj(_$qVar, orange)
511546019::other::What is green?::511546::licorice::_predadj(A, B)::_predadj(_$qVar, green)
57645031::yes/no::Is the umbrella clear?::57645::no::_predadj(A, B)::_predadj(umbrella, clear)
552507008::yes/no::Is the building yellow?::552507::yes::_predadj(A, B)::_predadj(building, yellow)
578655006::yes/no::Are the waves big?::578655::yes::_predadj(A, B)::_predadj(wave, big)
71597000::yes/no::Is the water clear?::71597::yes::_predadj(A, B)::_predadj(water, clear)
80714000::yes/no::Is the laptop open?::80714::yes::_predadj(A, B)::_predadj(laptop, open)
209602002::other::What is red?::209602::jacket::_predadj(A, B)::_predadj(_$qVar, red)
24566002::yes/no::Is the bus old?::24566::yes::_predadj(A, B)::_predadj(bus, old)
543528000::yes/no::Is the sky blue?::543528::yes::_predadj(A, B)::_predadj(sky, blue)
543528005::yes/no::Is the sky clear?::543528::no::_predadj(A, B)::_predadj(sky, clear)
116279003::yes/no::Is the sky clear?::116279::yes::_predadj(A, B)::_predadj(sky, clear)
217554004::yes/no::Is the bird orange?::217554::no::_predadj(A, B)::_predadj(bird, orange)
499621007::yes/no::Is the umbrella red?::499621::yes::_predadj(A, B)::_predadj(umbrella, red)
250758003::yes/no::Is the grass green?::250758::yes::_predadj(A, B)::_predadj(grass, green)
209347001::other::What is blue?::209347::jeans::_predadj(A, B)::_predadj(_$qVar, blue)
67608000::yes/no::Is the sky clear?::67608::no::_predadj(A, B)::_predadj(sky, clear)
515350000::yes/no::Is the water clear?::515350::yes::_predadj(A, B)::_predadj(water, clear)
549789001::yes/no::Is the sky clear?::549789::no::_predadj(A, B)::_predadj(sky, clear)
247914005::yes/no::Is the sky clear?::247914::yes::_predadj(A, B)::_predadj(sky, clear)
231022008::yes/no::Is the cat black?::231022::no::_predadj(A, B)::_predadj(cat, black)
181739000::yes/no::Is the cat large?::181739::no::_predadj(A, B)::_predadj(cat, large)
396205008::yes/no::Is the grass tall?::396205::no::_predadj(A, B)::_predadj(grass, tall)
413475004::yes/no::Are the skies blue?::413475::no::_predadj(A, B)::_predadj(sky, blue)
338878002::yes/no::Are the leaves green?::338878::no::_predadj(A, B)::_predadj(leaf, green)
96445002::yes/no::Is the door red?::96445::yes::_predadj(A, B)::_predadj(door, red)
168593006::yes/no::Are the windows open?::168593::yes::_predadj(A, B)::_predadj(windows, open)
222635051::yes/no::Is the wall green?::222635::yes::_predadj(A, B)::_predadj(wall, green)
470704001::yes/no::Is the bottle green?::470704::yes::_predadj(A, B)::_predadj(bottle, green)
313337001::yes/no::Is the banana big?::313337::yes::_predadj(A, B)::_predadj(banana, big)
294423001::other::What are green?::294423::trees::_predadj(A, B)::_predadj(_$qVar, green)
254732005::yes/no::Is the sky blue?::254732::yes::_predadj(A, B)::_predadj(sky, blue)
28002002::yes/no::Is the building large?::28002::yes::_predadj(A, B)::_predadj(building, large)
135410001::yes/no::Is the street blue?::135410::no::_predadj(A, B)::_predadj(street, blue)
75285001::yes/no::Is the laptop open?::75285::no::_predadj(A, B)::_predadj(laptop, open)
28157010::yes/no::Is the airplane big?::28157::yes::_predadj(A, B)::_predadj(airplane, big)
35105005::other::What is red?::35105::fire hydrant::_predadj(A, B)::_predadj(_$qVar, red)
